編號,設置地點,轄區,設置日期,速限,經度 (Longitude),緯度 (Latitude)
1,高屏大橋屏東端南北雙向,屏東,97.12,70,120.454876,22.652135
2,屏東市民生東路與安心四橫巷,屏東,109.05,60,120.510921,22.659873
3,屏東市和生路一段與工業六路,屏東,106.12,60,120.497735,22.654817
4,屏東市屏42線4.6K 機場北路段,屏東,109.08,40,120.473361,22.677139
5,屏東市機場北路500號前,屏東,111.04,40,120.471384,22.6862827
6,屏東市堤防路段南北雙向,屏東,99.09,60,120.447912,22.673306
7,189線10.1K大溪路口南下,屏東,94.04,70,120.453909,22.639193
8,台27線59.73K復興南路與公成路南北雙向,屏東,106.12,50,120.485576,22.640204
9,台27線62.1K 公館外環道南北雙向,屏東,114.07,南60 北70,120.482063,22.619141
10,台3線429.8K忠孝路段南北雙向,屏東,108.12,60,120.493428,22.695171
11,屏東市台3線428.15K處,屏東,111.04,70,120.4993773,22.7058097
12,台24線7.98K長治鄉中興路段東西雙向,屏東,106.12,60,120.542672,22.693243
13,屏東市屏17線10K處,屏東,107.12,60,120.519591,22.702332
14,屏21線農科路與神農西路口,屏東,100.05,50,120.533759,22.713966
15,屏21線神農西路路段南北雙向,屏東,99.12,50,120.533573,22.712818
16,長治鄉屏26線神農德華路口東西雙向,屏東,96.07,50,120.539034,22.716287
17,麟洛鄉中山路與民權路口南下,屏東,108.1,50,120.525767,22.6516
18,萬丹鄉河堤北路與北社路口,屏東,114.07,60,120.455372,22.607008
19,萬丹鄉大昌路與萬丹路二段路,屏東,111.12,50,120.484944,22.612194
20,189線16.62K 萬丹國中前,屏東,111.12,50,120.488626,22.597172
21,屏東縣萬丹鄉西環路與和平西路口,屏東,105.04,60,120.487157,22.589526
22,萬丹鄉187甲線14.67K大學路段南北雙向,屏東,106.12,60,120.49876,22.591784
23,台27線65.6K丹榮路段南北雙向,屏東,100.05,50,120.492343,22.589718
24,萬丹鄉中興路二段與丹榮路口,屏東,114.07,50,120.484115,22.578241
25,台27線68K處,屏東,114.07,50,120.481612,22.574972
26,萬丹鄉188線16.65K 萬順路一段東西雙向,屏東,106.12,50,120.483118,22.568168
27,萬丹鄉萬順路二段與南北路一段路口,屏東,113.12,50,120.466754,22.584604
28,台3線427.4K九如機場西側外環道南下,里港,89.12,50,120.488072,22.707912
29,台3線425.76K九如路一段玉水路口,里港,114.07,70,120.488487,22.718231
30,台3線423.66K九如林森路口,里港,114.07,50,120.489438,22.736543
31,台3線里港鄉420.5K處南北雙向,里港,102.08,50,120.493736,22.769923
32,里港鄉台3線418.9K鐵店路口南下,里港,106.12,50,120.498051,22.778225
33,里港鄉台3線415.7K南北雙向,里港,106.12,50,120.497735,22.8035
34,台3線414.08K 土庫段南北雙向,里港,100.05,50,120.506743,22.816883
35,里港鄉台22線23.38K處,里港,109.08,50,120.515858,22.777059
36,台27線45K鹽埔彭厝路段南北雙向,里港,106.12,60,120.554487,22.749349
37,長治鄉台24線13.3K處,里港,109.08,60,120.585976,22.712639
38,台24線14.87K東西雙向,里港,106.12,60,120.59917,22.718996
39,台27線41.78K 南華大橋鹽埔端,里港,114.07,50,120.581674,22.761547
40,高樹鄉185線0.95K處,里港,109.12,50,120.643892,22.871249
41,瑪家鄉屏37線2.09K處,內埔,112.1,40,120.608658,22.702955
42,185線32.13K佳義路段南北雙向,內埔,106.12,50,120.631421,22.662311
43,內埔鄉185線33.1K處,內埔,112.05,50,120.629927,22.653743
44,台一線405.4K內埔豐田段南北雙向,內埔,114.07,70,120.552183,22.626007
45,屏東縣內埔鄉屏光路與復興路,內埔,105.04,70,120.559727,22.608567
46,內埔鄉台一線408.7公里學人路段南北雙向,內埔,105.03,50,120.559699,22.599407
47,內埔鄉187線黎東路653巷口,內埔,112.1,50,120.609045,22.690906
48,內埔鄉187線五穀宮前,內埔,114.07,50,120.559592,22.584298
49,內埔鄉187丙線18.6K科大路段南北雙向,內埔,114.07,60,120.585742,22.636941
50,內埔鄉營區路段,內埔,113.12,50,120.36428,22.36148
51,萬巒鄉185線39.43K處,內埔,108.1,60,120.620423,22.598518
52,屏85線與屏83線路口,潮州,114.07,60,120.540644,22.569526
53,潮州鎮185甲線15.62K處,潮州,108.1,60,120.58678,22.542846
54,台一線410.97K 水源路段南北雙向,潮州,106.12,70,120.548683,22.582087
55,潮州鎮台一線415公里南北雙向,潮州,105.03,70,120.555769,22.552618
56,台一線417.5K潮州段南北雙向,潮州,100.05,70,120.543837,22.537846
57,屏75線3.8K崁頂南二高平面道路路口南下,潮州,114.07,50,120.518647,22.540959
58,屏75線3.9K崁頂南二高平面道路路口北上,潮州,114.07,50,120.518908,22.540673
59,189線20.1K 大湖橋,潮州,96.1,70,120.510127,22.579425
60,潮州鎮189線 22.68K處,潮州,109.08,50,120.529167,22.563972
61,新埤鄉屏112線4.13K處,潮州,111.04,50,120.5725003,22.5046426
62,新埤鄉189線新埤國小前,潮州,112.1,50,120.5516505,22.4705067
63,新埤鄉189線31.85K南北雙向,潮州,106.12,南60 北50,120.549367,22.48785
64,新埤鄉185線50.56K處,潮州,108.1,50,120.601047,22.512686
65,新埤鄉185線56.9K處,潮州,109.01,60,120.60919,22.46825
66,台88線20.6K快速道路北上,潮州,94.05,90,120.522771,22.570349
67,台88線20.6K快速道路南下,潮州,94.05,90,120.522577,22.570125
68,崁頂鄉187線28.8K處,東港,109.08,60,120.5195,22.519917
69,崁頂鄉187線32K南北雙向,東港,106.12,50,120.495754,22.501558
70,台27線71.1K仙公廟南北雙向,東港,114.07,南60 北70,120.46607,22.551637
71,新園鄉屏63線2.87K媽祖路段,東港,110.12,50,120.443675,22.513481
72,台27線74.3K興安段南北雙向,東港,100.05,南70 北60,120.462867,22.524467
73,台27線75.8K處,東港,114.07,60,120.462136,22.510099
74,新園鄉台17線251.6K,東港,109.08,70,120.440417,22.497778
75,屏東縣東港鎮中正路三段與新厝路,東港,105.04,60,120.478874,22.491724
76,台17線東港大橋端,東港,114.07,50,120.456672,22.480755
77,台17線253.5K與學仁路口,東港,114.07,70,120.455482,22.487177
78,東港鎮台17線259.8K 大潭路段,東港,114.07,70,120.490396,22.454191
79,台17線258.5K東港大鵬灣段南北雙向,東港,93.05,70,120.481929,22.456896
80,大鵬灣環灣道路3K處南北雙向,東港,99.12,40,120.470295,22.440039
81,大鵬灣環灣道路12K處南北雙向,東港,99.12,40,120.493509,22.441695
82,台一線422.5K處,東港,114.07,70,120.536268,22.498788
83,南州鄉187乙線17.33K處,東港,111.12,40,120.529574,22.489588
84,南州鄉187乙線19.66K處,東港,111.04,60,120.4908223,22.4852546
85,187乙線南州鄉勝利路段,東港,102.07,50,120.529663,22.489639
86,屏東縣佳冬鄉佳和路與佳農路,枋寮,105.04,60,120.563857,22.409676
87,枋寮鄉185線62.62K處,枋寮,108.1,60,120.6059,22.420426
88,台一線428.9K 南北雙向,枋寮,104.02,70,120.559434,22.445898
89,台一線431.07K戰備道南北雙向,枋寮,106.12,70,120.573475,22.431042
90,台一線435.6K南北雙向,枋寮,104.02,70,120.591743,22.394458
91,台一線444.29K 南北雙向,枋寮,107.12,70,120.625005,22.326096
92,台一線447.89K內獅段南北雙向,枋寮,106.12,70,120.643772,22.300001
93,台一線460.2K楓港段南北雙向,枋寮,106.12,50,120.688156,22.201833
94,獅子鄉台九線草埔國小前,枋寮,107.11,40,120.802816,22.23517
95,獅子鄉台9線436.53K(草埔隧道南向),枋寮,108.12,70,120.81045,22.244919
96,獅子鄉台9線436.58K(草埔隧道北向),枋寮,108.12,70,120.81402,22.24568
97,獅子鄉台9線438.2K草埔橋口,枋寮,108.12,40,120.803444,22.237247
98,獅子鄉台9線440K處,枋寮,114.07,40,120.795948,22.222354
99,台9線446.4K丹路外環道,枋寮,110.12,40,120.7450468,22.2041695
100,獅子鄉台9線452.5K處,枋寮,114.07,60,120.695377,22.207374
101,台26線3.7K南北雙向,枋寮,104.02,70,120.692948,22.181253
102,台26線7.87K南北雙向,枋寮,107.12,50,120.700691,22.144751
103,台26線16.5K車城分駐所前,恆春,81.04,50,120.714015,22.072859
104,台26線20K省北路二段南北雙向,恆春,100.05,70,120.730103,22.045581
105,台26線22.9K南北雙向,恆春,104.02,南60 北70,120.7432,22.02382
106,台26線28K核三廠前北上,恆春,88.01,70,120.758597,21.965241
107,台26線28.5公里處南北雙向,恆春,114.07,70,120.752871,21.977509
108,台26線31.11K 南灣段南北雙向,恆春,110.03,60,120.76714,21.958733
109,滿州鄉屏200線8.2K處,恆春,111.04,60,120.803293,22.008697
